"rid", "binaryID"
13878,1
13896,10
13928,11
13919,110
13935,111
13920,1100
13921,1101
13960,1110
13961,1111
13897,11010
13903,11011
13965,11100
14046,11101
13894,110110
13895,110111
13971,111000
13992,111001
14077,111010
14096,111011
13876,1101110
13877,1101111
13982,1110000
14000,1110001
13875,11011110
13879,11011111
14005,11100010
14037,11100011
13880,110111110
13976,110111111
14049,111000110
14091,111000111
13863,1101111100
13864,1101111101
13985,1101111110
14050,1101111111
14070,1110001100
14097,1110001101
13859,11011111010
13865,11011111011
13986,11011111100
14062,11011111101
14073,11011111110
14078,11011111111
13860,110111110110
13869,110111110111
13987,110111111000
14006,110111111001
