"rid", "binaryID"
7931,1
7932,10
7958,11
7927,100
7928,101
7977,110
7992,111
7740,1000
7741,1001
4934,1010
7921,1011
6544,1100
7954,1101
5764,1110
5781,1111
1918,10110
1919,10111
6543,11000
7945,11001
8009,11110
8029,11111
1898,101110
4940,101111
7961,110010
8004,110011
8010,111100
8038,111101
1946,111110
8045,111111
7856,1011100
7857,1011101
4941,1011110
4955,1011111
1935,1111010
8039,1111011
7824,10111010
7827,10111011
7959,10111110
7966,10111111
7713,101110100
7714,101110101
7826,101110110
7835,101110111
7973,101111100
7983,101111101
7993,101111110
8000,101111111
7812,1011101100
7837,1011101101
5765,1011111000
5772,1011111001
7777,10111011000
7806,10111011001
7760,101110110000
7763,101110110001
7813,101110110010
7816,101110110011
7623,1011101100000
7624,1011101100001
7735,1011101100010
7748,1011101100011
7817,1011101100110
7962,1011101100111
7596,10111011000010
7597,10111011000011
7571,101110110000110
7572,101110110000111
7550,1011101100001100
7551,1011101100001101
