"rid", "binaryID"
16,1
15,10
205,11
206,110
277,111
281,1100
286,1101
280,1110
658,1111
292,11010
296,11011
663,110100
677,110101
300,110110
704,110111
665,1101000
686,1101001
705,1101110
733,1101111
664,11010000
673,11010001
699,11010010
702,11010011
703,11011100
707,11011101
672,110100010
682,110100011
701,110100110
711,110100111
713,1101001110
728,1101001111
721,11010011100
740,11010011101
735,11010011110
760,11010011111
750,110100111010
766,110100111011
759,110100111110
793,110100111111
771,1101001110110
787,1101001110111
742,1101001111100
809,1101001111101
799,1101001111110
869,1101001111111
788,11010011101110
808,11010011101111
811,110100111011110
1607,110100111011111
818,1101001110111100
844,1101001110111101
845,11010011101111010
857,11010011101111011
846,110100111011110100
865,110100111011110101
875,1101001110111101010
1561,1101001110111101011
1580,11010011101111010110
1584,11010011101111010111
1605,110100111011110101100
1630,110100111011110101101
1604,1101001110111101011000
1620,1101001110111101011001
917,1101001110111101011010
1633,1101001110111101011011
1619,11010011101111010110010
1636,11010011101111010110011
920,110100111011110101100110
1643,110100111011110101100111
334,1101001110111101011001100
921,1101001110111101011001101
210,1101001110111101011001110
1642,1101001110111101011001111
1980,11010011101111010110011000
1984,11010011101111010110011001
215,11010011101111010110011100
341,11010011101111010110011101
216,110100111011110101100111000
1963,110100111011110101100111001
214,110100111011110101100111010
1998,110100111011110101100111011
954,1101001110111101011001110100
1962,1101001110111101011001110101
1999,1101001110111101011001110110
2025,1101001110111101011001110111
2003,11010011101111010110011101010
2067,11010011101111010110011101011
2024,110100111011110101100111010100
2101,110100111011110101100111010101
2068,110100111011110101100111010110
2082,110100111011110101100111010111
2028,1101001110111101011001110101000
2046,1101001110111101011001110101001
2102,1101001110111101011001110101010
2161,1101001110111101011001110101011
2061,11010011101111010110011101010010
2085,11010011101111010110011101010011
2089,110100111011110101100111010100100
2105,110100111011110101100111010100101
2084,110100111011110101100111010100110
2093,110100111011110101100111010100111
2118,1101001110111101011001110101001010
2142,1101001110111101011001110101001011
79,11010011101111010110011101010010110
88,11010011101111010110011101010010111
2163,110100111011110101100111010100101100
2166,110100111011110101100111010100101101
970,110100111011110101100111010100101110
2169,110100111011110101100111010100101111
969,1101001110111101011001110101001011100
2452,1101001110111101011001110101001011101
2170,1101001110111101011001110101001011110
2432,1101001110111101011001110101001011111
2484,11010011101111010110011101010010111010
2541,11010011101111010110011101010010111011
2435,11010011101111010110011101010010111110
2446,11010011101111010110011101010010111111
2414,110100111011110101100111010100101111100
2497,110100111011110101100111010100101111101
2542,110100111011110101100111010100101111110
2543,110100111011110101100111010100101111111
2415,1101001110111101011001110101001011111000
2436,1101001110111101011001110101001011111001
247,1101001110111101011001110101001011111100
2548,1101001110111101011001110101001011111101
248,1101001110111101011001110101001011111110
2556,1101001110111101011001110101001011111111
2437,11010011101111010110011101010010111110010
2465,11010011101111010110011101010010111110011
260,11010011101111010110011101010010111111000
2608,11010011101111010110011101010010111111001
2180,11010011101111010110011101010010111111110
2567,11010011101111010110011101010010111111111
2455,110100111011110101100111010100101111100110
2473,110100111011110101100111010100101111100111
1296,110100111011110101100111010100101111111100
2195,110100111011110101100111010100101111111101
1286,110100111011110101100111010100101111111110
2586,110100111011110101100111010100101111111111
2470,1101001110111101011001110101001011111001110
2495,1101001110111101011001110101001011111001111
2604,1101001110111101011001110101001011111111100
2652,1101001110111101011001110101001011111111101
2499,11010011101111010110011101010010111110011110
2514,11010011101111010110011101010010111110011111
2605,11010011101111010110011101010010111111111000
2633,11010011101111010110011101010010111111111001
2658,11010011101111010110011101010010111111111010
2661,11010011101111010110011101010010111111111011
1281,110100111011110101100111010100101111100111100
2500,110100111011110101100111010100101111100111101
2670,110100111011110101100111010100101111111110010
2700,110100111011110101100111010100101111111110011
2660,110100111011110101100111010100101111111110110
2665,110100111011110101100111010100101111111110111
2490,1101001110111101011001110101001011111001111010
2529,1101001110111101011001110101001011111001111011
2471,11010011101111010110011101010010111110011110100
