"rid", "binaryID"
9697,1
9686,10
16897,11
16782,100
16858,101
16760,1000
16761,1001
12810,1010
16904,1011
11993,10010
12008,10011
15398,10110
16953,10111
12011,100100
16704,100101
15399,101100
15410,101101
16964,101110
17010,101111
16698,1001010
16751,1001011
15411,1011010
16921,1011011
10220,10010100
15383,10010101
9693,10110100
9694,10110101
16955,10110110
16974,10110111
10188,100101000
10189,100101001
17021,101101100
17085,101101101
16975,101101110
17075,101101111
10205,1001010010
16610,1001010011
16950,1011011100
16951,1011011101
17096,1011011110
17137,1011011111
6429,10010100110
16596,10010100111
16922,10110111010
16935,10110111011
17097,10110111100
17116,10110111101
12951,100101001100
12952,100101001101
12173,101101111010
17124,101101111011
16532,1001010011010
16556,1001010011011
6390,1011011110100
12182,1011011110101
12942,10010100110110
16559,10010100110111
12140,100101001101100
12790,100101001101101
16560,100101001101110
16562,100101001101111
10195,1001010011011000
16699,1001010011011001
12945,1001010011011110
16575,1001010011011111
10196,10010100110110000
16691,10010100110110001
12009,10010100110110010
16814,10010100110110011
16692,100101001101100010
16734,100101001101100011
16680,1001010011011000100
16681,1001010011011000101
16754,1001010011011000110
16849,1001010011011000111
16665,10010100110110001010
16682,10010100110110001011
16755,10010100110110001100
16806,10010100110110001101
16853,10010100110110001110
16868,10010100110110001111
16807,100101001101100011010
16916,100101001101100011011
12163,100101001101100011100
16859,100101001101100011101
12015,1001010011011000110100
16850,1001010011011000110101
16920,1001010011011000110110
16934,1001010011011000110111
12154,1001010011011000111010
16936,1001010011011000111011
16735,10010100110110001101000
16748,10010100110110001101001
12812,10010100110110001101010
16851,10010100110110001101011
16923,10010100110110001101100
16926,10010100110110001101101
16937,10010100110110001110110
17002,10010100110110001110111
16644,100101001101100011010000
16645,100101001101100011010001
16815,100101001101100011010100
16816,100101001101100011010101
16924,100101001101100011011000
16930,100101001101100011011001
17018,100101001101100011101110
17076,100101001101100011101111
12141,1001010011011000110100010
16685,1001010011011000110100011
16796,1001010011011000110101000
16797,1001010011011000110101001
12809,1001010011011000110101010
16793,1001010011011000110101011
16938,1001010011011000110110010
17067,1001010011011000110110011
17017,1001010011011000111011100
17073,1001010011011000111011101
17077,1001010011011000111011110
17283,1001010011011000111011111
12138,10010100110110001101000100
12146,10010100110110001101000101
16862,10010100110110001101010100
16865,10010100110110001101010101
16765,10010100110110001101010110
16766,10010100110110001101010111
16983,10010100110110001101100100
17007,10010100110110001101100101
17072,10010100110110001110111010
17098,10010100110110001110111011
12171,10010100110110001110111110
17303,10010100110110001110111111
6442,100101001101100011010001000
6443,100101001101100011010001001
9685,100101001101100011010001010
12147,100101001101100011010001011
16984,100101001101100011011001000
17043,100101001101100011011001001
17034,100101001101100011011001010
17139,100101001101100011011001011
17039,100101001101100011101110100
17110,100101001101100011101110101
12172,100101001101100011101111100
17326,100101001101100011101111101
6427,1001010011011000110100010000
6430,1001010011011000110100010001
16507,1001010011011000110100010010
16511,1001010011011000110100010011
15382,1001010011011000110100010100
16638,1001010011011000110100010101
16512,1001010011011000110100010110
16513,1001010011011000110100010111
16985,1001010011011000110110010000
17022,1001010011011000110110010001
16993,1001010011011000111011101000
17001,1001010011011000111011101001
17109,1001010011011000111011101010
17278,1001010011011000111011101011
6391,1001010011011000111011111000
12168,1001010011011000111011111001
16481,10010100110110001101000100100
16482,10010100110110001101000100101
10200,10010100110110001101000101010
16639,10010100110110001101000101011
15375,10010100110110001101000101110
16501,10010100110110001101000101111
17023,10010100110110001101100100010
17056,10010100110110001101100100011
12193,10010100110110001110111010110
17282,10010100110110001110111010111
17313,10010100110110001110111110000
17353,10010100110110001110111110001
7046,100101001101100011010001001000
7047,100101001101100011010001001001
10206,100101001101100011010001010100
10221,100101001101100011010001010101
15369,100101001101100011010001011100
15370,100101001101100011010001011101
12946,100101001101100011010001011110
16508,100101001101100011010001011111
17119,100101001101100011011001000110
17145,100101001101100011011001000111
6395,100101001101100011101110101110
17281,100101001101100011101110101111
17372,100101001101100011101111100010
17380,100101001101100011101111100011
7034,1001010011011000110100010010000
16471,1001010011011000110100010010001
10207,1001010011011000110100010101000
10210,1001010011011000110100010101001
16494,1001010011011000110100010111000
16495,1001010011011000110100010111001
15138,1001010011011000110100010111010
15139,1001010011011000110100010111011
17120,1001010011011000110110010001100
17125,1001010011011000110110010001101
17298,1001010011011000110110010001110
17367,1001010011011000110110010001111
2393,1001010011011000111011101011100
17352,1001010011011000111011101011101
2401,1001010011011000111011111000110
17391,1001010011011000111011111000111
16625,10010100110110001101000101010000
16626,10010100110110001101000101010001
10211,10010100110110001101000101010010
16683,10010100110110001101000101010011
16447,10010100110110001101000101110100
16448,10010100110110001101000101110101
16956,10010100110110001101100100011000
16957,10010100110110001101100100011001
17154,10010100110110001101100100011010
17284,10010100110110001101100100011011
17297,10010100110110001101100100011100
17327,10010100110110001101100100011101
10914,10010100110110001101100100011110
17393,10010100110110001101100100011111
2394,10010100110110001110111010111000
10927,10010100110110001110111010111001
10918,10010100110110001110111010111010
17351,10010100110110001110111010111011
10212,100101001101100011010001010100100
12132,100101001101100011010001010100101
15378,100101001101100011010001010100110
15395,100101001101100011010001010100111
17155,100101001101100011011001000110100
17277,100101001101100011011001000110101
10929,100101001101100011011001000111010
17338,100101001101100011011001000111011
10913,100101001101100011011001000111100
11577,100101001101100011011001000111101
17174,100101001101100011011001000111110
17394,100101001101100011011001000111111
10933,100101001101100011101110101110000
17415,100101001101100011101110101110001
10937,100101001101100011101110101110100
17624,100101001101100011101110101110101
17342,100101001101100011101110101110110
17373,100101001101100011101110101110111
10223,1001010011011000110100010101001000
15384,1001010011011000110100010101001001
16618,1001010011011000110100010101001010
16619,1001010011011000110100010101001011
16714,1001010011011000110100010101001110
16733,1001010011011000110100010101001111
12174,1001010011011000110110010001101010
17328,1001010011011000110110010001101011
17591,1001010011011000110110010001111010
17595,1001010011011000110110010001111011
11582,1001010011011000110110010001111100
17660,1001010011011000110110010001111101
10938,1001010011011000111011101011100000
17162,1001010011011000111011101011100001
10936,1001010011011000111011101011101000
17634,1001010011011000111011101011101001
17638,1001010011011000111011101011101010
17674,1001010011011000111011101011101011
16661,10010100110110001101000101010010000
16673,10010100110110001101000101010010001
15385,10010100110110001101000101010010010
16707,10010100110110001101000101010010011
12133,10010100110110001101000101010010110
16600,10010100110110001101000101010010111
16722,10010100110110001101000101010011100
16756,10010100110110001101000101010011101
12175,10010100110110001101100100011010100
17299,10010100110110001101100100011010101
17599,10010100110110001101100100011110110
17630,10010100110110001101100100011110111
17617,10010100110110001101100100011111000
17645,10010100110110001101100100011111001
10934,10010100110110001110111010111000000
17593,10010100110110001110111010111000001
17675,10010100110110001110111010111010110
17719,10010100110110001110111010111010111
12795,100101001101100011010001010100101110
12796,100101001101100011010001010100101111
16757,100101001101100011010001010100111010
16788,100101001101100011010001010100111011
17304,100101001101100011011001000110101010
17375,100101001101100011011001000110101011
17676,100101001101100011011001000111101110
17694,100101001101100011011001000111101111
10963,100101001101100011011001000111110010
10967,100101001101100011011001000111110011
10960,100101001101100011101110101110000010
17610,100101001101100011101110101110000011
16566,1001010011011000110100010101001011100
16567,1001010011011000110100010101001011101
12788,1001010011011000110100010101001011110
12789,1001010011011000110100010101001011111
16789,1001010011011000110100010101001110110
16808,1001010011011000110100010101001110111
17305,1001010011011000110110010001101010100
17376,1001010011011000110110010001101010101
10966,1001010011011000110110010001111011100
17686,1001010011011000110110010001111011101
17594,1001010011011000111011101011100000110
17651,1001010011011000111011101011100000111
16550,10010100110110001101000101010010111010
16551,10010100110110001101000101010010111011
16563,10010100110110001101000101010010111110
16564,10010100110110001101000101010010111111
16803,10010100110110001101000101010011101110
16812,10010100110110001101000101010011101111
10940,10010100110110001101100100011010101010
17400,10010100110110001101100100011010101011
10993,10010100110110001101100100011110111000
17432,10010100110110001101100100011110111001
17652,10010100110110001110111010111000001110
17685,10010100110110001110111010111000001111
15136,100101001101100011010001010100101110100
15142,100101001101100011010001010100101110101
16453,100101001101100011010001010100101111100
16454,100101001101100011010001010100101111101
12947,100101001101100011010001010100101111110
16587,100101001101100011010001010100101111111
16817,100101001101100011010001010100111011110
16860,100101001101100011010001010100111011111
10919,100101001101100011011001000110101010110
17401,100101001101100011011001000110101010111
15159,100101001101100011011001000111101110000
17732,100101001101100011011001000111101110001
17431,100101001101100011011001000111101110010
17746,100101001101100011011001000111101110011
17653,100101001101100011101110101110000011100
17695,100101001101100011101110101110000011101
10987,100101001101100011101110101110000011110
17457,100101001101100011101110101110000011111
12122,1001010011011000110100010101001011101000
12123,1001010011011000110100010101001011101001
15128,1001010011011000110100010101001011101010
