"rid", "binaryID"
6116,1
6126,10
6132,11
6133,110
6140,111
6145,1110
6194,1111
6141,11100
6146,11101
6193,11110
6200,11111
5729,111000
5730,111001
6206,111110
6223,111111
5722,1110010
5734,1110011
6205,1111100
6214,1111101
6224,1111110
6265,1111111
5706,11100100
5707,11100101
6213,11111010
6234,11111011
6227,11111110
6228,11111111
5708,111001010
6129,111001011
6233,111110110
6247,111110111
5715,1110010100
6188,1110010101
6246,1111101110
6255,1111101111
5716,11100101000
5717,11100101001
6254,11111011110
6264,11111011111
6117,111001010000
6118,111001010001
5724,111001010010
6130,111001010011
6263,111110111110
6271,111110111111
6134,1110010100100
6157,1110010100101
6098,1110010100110
6121,1110010100111
6270,1111101111110
6499,1111101111111
6135,11100101001000
6190,11100101001001
5676,11100101001100
6056,11100101001101
5723,11100101001110
6122,11100101001111
6498,11111011111110
6515,11111011111111
6191,111001010010010
6218,111001010010011
5643,111001010011000
5666,111001010011001
6138,111001010011100
6142,111001010011101
6514,111110111111110
6516,111110111111111
6041,1110010100110000
6042,1110010100110001
6143,1110010100111000
6148,1110010100111001
6517,1111101111111110
6608,1111101111111111
6039,11100101001100000
6040,11100101001100001
6015,11100101001100010
6016,11100101001100011
6163,11100101001110000
6177,11100101001110001
6618,11111011111111110
6624,11111011111111111
5991,111001010011000100
6001,111001010011000101
5978,111001010011000110
6012,111001010011000111
5283,111001010011100000
6164,111001010011100001
6619,111110111111111100
6636,111110111111111101
5999,1110010100110001010
6000,1110010100110001011
1097,1110010100110001100
1098,1110010100110001101
6013,1110010100110001110
6017,1110010100110001111
3407,1110010100111000000
5284,1110010100111000001
521,1111101111111111000
6602,1111101111111111001
2274,1111101111111111010
2288,1111101111111111011
5916,11100101001100011000
5917,11100101001100011001
5665,11100101001100011110
6018,11100101001100011111
6210,11100101001110000000
6260,11100101001110000001
6601,11111011111111110010
6612,11111011111111110011
6290,11111011111111110100
6291,11111011111111110101
6664,11111011111111110110
6665,11111011111111110111
5910,111001010011000110000
5946,111001010011000110001
5685,111001010011000110010
5697,111001010011000110011
5667,111001010011000111100
6059,111001010011000111101
5641,111001010011000111110
6019,111001010011000111111
6259,111110111111111100100
6269,111110111111111100101
6289,111110111111111101000
6715,111110111111111101001
5292,111110111111111101010
5294,111110111111111101011
1553,111110111111111101110
1554,111110111111111101111
5704,1110010100110001100000
5919,1110010100110001100001
5567,1110010100110001100100
5568,1110010100110001100101
5692,1110010100110001100110
5705,1110010100110001100111
6070,1110010100110001111000
6092,1110010100110001111001
6288,1111101111111111010000
6768,1111101111111111010001
6292,1111101111111111010100
6696,1111101111111111010101
6686,1111101111111111010110
6720,1111101111111111010111
5678,11100101001100011000000
5679,11100101001100011000001
5536,11100101001100011001010
5537,11100101001100011001011
5618,11100101001100011001100
5995,11100101001100011001101
6283,11111011111111110100000
