"rid", "binaryID"
3813,1
3785,10
3910,11
3784,100
3893,101
3994,110
4160,111
3876,1010
3920,1011
4119,1110
4284,1111
3803,10100
3804,10101
3941,10110
3993,10111
4068,11100
4069,11101
4292,11110
4384,11111
3938,101100
3977,101101
4067,111000
4104,111001
4293,111100
4427,111101
3937,1011000
3950,1011001
4103,1110010
4112,1110011
4437,1111010
4495,1111011
3891,10110010
3892,10110011
4140,11100110
4289,11100111
3847,101100100
3866,101100101
3791,1011001000
3822,1011001001
3673,10110010000
3674,10110010001
3820,10110010010
3821,10110010011
3577,101100100000
3586,101100100001
3781,101100100110
3825,101100100111
3536,1011001000000
3607,1011001000001
3855,1011001001110
3946,1011001001111
3465,10110010000000
3466,10110010000001
3606,10110010000010
3631,10110010000011
3879,10110010011100
3883,10110010011101
3401,101100100000000
3406,101100100000001
3295,101100100000010
3296,101100100000011
3630,101100100000110
3716,101100100000111
3293,1011001000000000
3294,1011001000000001
3405,1011001000000010
3414,1011001000000011
3708,1011001000001110
3715,1011001000001111
3276,10110010000000000
3285,10110010000000001
3182,10110010000000010
3183,10110010000000011
3450,10110010000000110
3464,10110010000000111
3596,10110010000011100
3597,10110010000011101
3284,101100100000000010
3322,101100100000000011
3093,101100100000000100
3111,101100100000000101
3449,101100100000001100
3479,101100100000001101
3058,1011001000000001000
3110,1011001000000001001
3475,1011001000000011010
3491,1011001000000011011
3037,10110010000000010000
3038,10110010000000010001
