"rid", "binaryID"
8938,1
8942,10
8981,11
8943,100
8946,101
8985,110
8986,111
5031,1010
5033,1011
9012,1100
9015,1101
8987,1110
8990,1111
5037,10110
8940,10111
9013,11000
9059,11001
8989,11110
9016,11111
5038,101100
8939,101101
9065,110000
9066,110001
8973,111100
8988,111101
5041,1011010
5046,1011011
9071,1100000
9079,1100001
9077,1100010
9080,1100011
8970,1111000
9002,1111001
5047,10110110
8944,10110111
9114,11000010
9144,11000011
9109,11000100
9130,11000101
9101,11000110
9104,11000111
8974,11110000
8977,11110001
9003,11110010
9008,11110011
6592,101101110
8947,101101111
9110,110001000
9151,110001001
9011,111100110
9032,111100111
5048,1011011100
5049,1011011101
9141,1100010010
9169,1100010011
9033,1111001110
9120,1111001111
5025,10110111000
8916,10110111001
9164,11000100110
9281,11000100111
9098,11110011110
9116,11110011111
6593,101101110000
8975,101101110001
8912,101101110010
8913,101101110011
9282,110001001110
9285,110001001111
9111,111100111110
9125,111100111111
6594,1011011100000
8954,1011011100001
8902,1011011100110
8903,1011011100111
1261,1100010011110
1276,1100010011111
9099,1111001111100
9102,1111001111101
9121,1111001111110
9158,1111001111111
5050,10110111000000
8941,10110111000001
8892,10110111001100
8893,10110111001101
8904,10110111001110
8907,10110111001111
1253,11000100111100
9291,11000100111101
1275,11000100111110
9322,11000100111111
9017,11110011111000
9018,11110011111001
9100,11110011111100
9105,11110011111101
9138,11110011111110
9274,11110011111111
5034,101101110000000
6590,101101110000001
5017,101101110011010
8888,101101110011011
1250,110001001111000
9292,110001001111001
1251,110001001111100
9290,110001001111101
9331,110001001111110
9357,110001001111111
9067,111100111111010
9068,111100111111011
9139,111100111111100
9154,111100111111101
9275,111100111111110
9295,111100111111111
5032,1011011100000000
8958,1011011100000001
8887,1011011100110110
8896,1011011100110111
1260,1100010011111000
9335,1100010011111001
9332,1100010011111100
9342,1100010011111101
9359,1100010011111110
9371,1100010011111111
9051,1111001111110110
9060,1111001111110111
9126,1111001111111000
9152,1111001111111001
