"rid", "binaryID"
18145,1
11045,10
18181,11
6469,100
11037,101
18188,110
18420,111
6455,1000
17858,1001
11046,1010
18456,1011
11033,10100
18412,10101
18467,10110
18468,10111
11005,101000
18163,101001
18500,101100
18599,101101
17543,101110
18442,101111
17803,1010000
17804,1010001
17508,1010010
18146,1010011
18540,1011010
18549,1011011
15151,10100000
15152,10100001
17513,10100100
18189,10100101
17532,10110110
18884,10110111
17399,101000000
30175,101000001
15149,101000010
17753,101000011
18155,101001000
18156,101001001
15181,101001010
18417,101001011
18901,101101110
18916,101101111
17398,1010000010
17407,1010000011
17754,1010000110
17766,1010000111
18147,1010010010
18148,1010010011
18424,1010010100
18533,1010010101
18919,1011011110
19071,1011011111
17389,10100000100
17390,10100000101
17476,10100001100
17477,10100001101
18113,10100100110
18117,10100100111
18425,10100101000
18502,10100101001
17540,10100101010
18606,10100101011
18923,10110111100
19204,10110111101
12169,101000001010
17288,101000001011
10939,101000011010
17161,101000011011
17898,101001001100
17912,101001001101
18504,101001010010
18520,101001010011
17539,101001010100
18589,101001010101
18550,101001010110
18891,101001010111
17275,1010000010110
17276,1010000010111
2398,1010000110100
2399,1010000110101
17913,1010010011010
18085,1010010011011
18521,1010010100110
18925,1010010100111
18895,1010010101110
19064,1010010101111
17331,10100001101000
17332,10100001101001
17810,10100100110100
17811,10100100110101
18086,10100100110110
18182,10100100110111
18926,10100101001110
19175,10100101001111
18894,10100101011100
18924,10100101011101
18949,10100101011110
19142,10100101011111
17779,101001001101010
17780,101001001101011
17892,101001001101100
17914,101001001101101
15180,101001001101110
18183,101001001101111
18871,101001010011100
18878,101001010011101
18940,101001010011110
19176,101001010011111
17194,101001010111100
19305,101001010111101
18215,101001010111110
19146,101001010111111
10954,1010010011010100
10986,1010010011010101
6470,1010010011011000
17853,1010010011011001
15198,1010010011011100
18421,1010010011011101
18562,1010010100111000
18566,1010010100111001
18216,1010010100111100
18233,1010010100111101
17919,1010010101111010
17936,1010010101111011
18939,1010010101111100
19286,1010010101111101
17642,10100100110101000
17666,10100100110101001
6471,10100100110110000
11027,10100100110110001
18567,10100101001110010
18872,10100101001110011
19159,10100101001111010
19225,10100101001111011
18942,10100101011111000
19285,10100101011111001
19289,10100101011111010
19339,10100101011111011
17614,101001001101010000
17616,101001001101010001
17867,101001001101100000
17868,101001001101100001
11034,101001001101100010
18130,101001001101100011
17535,101001010011100110
18885,101001010011100111
19226,101001010011110110
19331,101001010011110111
19295,101001010111110010
19312,101001010111110011
2400,1010010011010100000
10908,1010010011010100001
17611,1010010011010100010
17619,1010010011010100011
17786,1010010011011000000
17787,1010010011011000001
18126,1010010011011000100
18152,1010010011011000101
18544,1010010100111001100
18888,1010010100111001101
17937,1010010100111101110
19332,1010010100111101111
12206,10100100110110000010
17799,10100100110110000011
11041,10100100110110001000
17520,10100100110110001001
