"rid", "binaryID"
730,1
719,10
1043,11
712,100
746,101
1050,110
1184,111
757,1010
872,1011
1105,1100
1200,1101
1187,1110
1188,1111
763,10100
779,10101
896,10110
935,10111
1124,11000
1140,11001
758,101000
774,101001
877,101010
942,101011
955,101110
992,101111
1168,110010
1229,110011
723,1010000
731,1010001
972,1011100
1020,1011101
1051,1011110
1065,1011111
1191,1100100
1201,1100101
1230,1100110
1273,1100111
692,10100000
696,10100001
973,10111000
991,10111001
1095,10111100
1127,10111101
1209,11001000
1286,11001001
1274,11001110
1321,11001111
636,101000000
645,101000001
1368,110010000
1454,110010001
1339,110010010
1353,110010011
1275,110011100
1280,110011101
591,1010000000
595,1010000001
1367,1100100000
1419,1100100001
1473,1100100010
1535,1100100011
1340,1100111010
1395,1100111011
564,10100000000
565,10100000001
1453,11001000010
1502,11001000011
1474,11001000100
1487,11001000101
1609,11001000110
1624,11001000111
1388,11001110100
1403,11001110101
525,101000000010
526,101000000011
1452,110010000100
1472,110010000101
1501,110010000110
1553,110010000111
1625,110010001110
1679,110010001111
1404,110011101010
1448,110011101011
479,1010000000110
480,1010000000111
1582,1100100001110
1588,1100100001111
1691,1100100011110
1714,1100100011111
1449,1100111010110
1455,1100111010111
475,10100000001100
476,10100000001101
472,10100000001110
473,10100000001111
1587,11001000011110
1608,11001000011111
1692,11001000111100
1693,11001000111101
1753,11001000111110
1803,11001000111111
1601,110010000111110
1677,110010000111111
1647,110010001111000
1656,110010001111001
1752,110010001111100
1799,110010001111101
1824,110010001111110
1928,110010001111111
1592,1100100011110000
1596,1100100011110001
1783,1100100011111010
1784,1100100011111011
1845,1100100011111100
1888,1100100011111101
1782,11001000111110100
1832,11001000111110101
1818,11001000111111000
1851,11001000111111001
1908,11001000111111010
1969,11001000111111011
1840,110010001111101010
1844,110010001111101011
1809,110010001111110000
1811,110010001111110001
1909,110010001111110100
1956,110010001111110101
1982,110010001111110110
2007,110010001111110111
1794,1100100011111100010
1795,1100100011111100011
2003,1100100011111101010
2029,1100100011111101011
2020,1100100011111101110
2038,1100100011111101111
1640,11001000111111000100
1649,11001000111111000101
1754,11001000111111000110
1761,11001000111111000111
2028,11001000111111010100
2066,11001000111111010101
2080,11001000111111010110
2367,11001000111111010111
1610,110010001111110001000
1611,110010001111110001001
1762,110010001111110001110
1770,110010001111110001111
2021,110010001111110101000
2022,110010001111110101001
2118,110010001111110101010
2170,110010001111110101011
2378,110010001111110101110
2440,110010001111110101111
1597,1100100011111100010000
1598,1100100011111100010001
1600,1100100011111100010010
1636,1100100011111100010011
1990,1100100011111101010010
2006,1100100011111101010011
2182,1100100011111101010100
2233,1100100011111101010101
2221,1100100011111101010110
2245,1100100011111101010111
1593,11001000111111000100100
1594,11001000111111000100101
1929,11001000111111010100100
1930,11001000111111010100101
2033,11001000111111010100110
2059,11001000111111010100111
2187,11001000111111010101000
2203,11001000111111010101001
1570,110010001111110001001010
1583,110010001111110001001011
1892,110010001111110101001000
1893,110010001111110101001001
2034,110010001111110101001100
2056,110010001111110101001101
2246,110010001111110101010000
2277,110010001111110101010001
2216,110010001111110101010010
2289,110010001111110101010011
2057,1100100011111101010011010
2061,1100100011111101010011011
2348,1100100011111101010100010
2375,1100100011111101010100011
2217,1100100011111101010100100
2271,1100100011111101010100101
2332,1100100011111101010100110
2368,1100100011111101010100111
1910,11001000111111010100110100
1911,11001000111111010100110101
2072,11001000111111010100110110
2092,11001000111111010100110111
2347,11001000111111010101000100
2451,11001000111111010101000101
2301,11001000111111010101001010
2448,11001000111111010101001011
2474,11001000111111010101001110
2586,11001000111111010101001111
1899,110010001111110101001101000
1900,110010001111110101001101001
1906,110010001111110101001101010
1919,110010001111110101001101011
2073,110010001111110101001101100
2168,110010001111110101001101101
2351,110010001111110101010001000
2456,110010001111110101010001001
2483,110010001111110101010001010
2569,110010001111110101010001011
2312,110010001111110101010010100
2391,110010001111110101010010101
2476,110010001111110101010011100
2516,110010001111110101010011101
1833,1100100011111101010011010010
1834,1100100011111101010011010011
1792,1100100011111101010011010100
1814,1100100011111101010011010101
2074,1100100011111101010011011000
2111,1100100011111101010011011001
2358,1100100011111101010100010000
2366,1100100011111101010100010001
2524,1100100011111101010100010100
2625,1100100011111101010100010101
2313,1100100011111101010100101000
2322,1100100011111101010100101001
1736,11001000111111010100110100110
1737,11001000111111010100110100111
1698,11001000111111010100110101000
1699,11001000111111010100110101001
2060,11001000111111010100110110000
2119,11001000111111010100110110001
2621,11001000111111010101000101010
2630,11001000111111010101000101011
1704,110010001111110101001101001100
1715,110010001111110101001101001101
1694,110010001111110101001101010010
1716,110010001111110101001101010011
2120,110010001111110101001101100010
2142,110010001111110101001101100011
1689,1100100011111101010011010011000
1690,1100100011111101010011010011001
2014,1100100011111101010011011000100
2015,1100100011111101010011011000101
2145,1100100011111101010011011000110
2265,1100100011111101010011011000111
1970,11001000111111010100110110001010
1971,11001000111111010100110110001011
2146,11001000111111010100110110001100
2234,11001000111111010100110110001101
2290,11001000111111010100110110001110
2369,11001000111111010100110110001111
1914,110010001111110101001101100010100
1915,110010001111110101001101100010101
2235,110010001111110101001101100011010
2302,110010001111110101001101100011011
2231,1100100011111101010011011000110100
2285,1100100011111101010011011000110101
2360,1100100011111101010011011000110110
2380,1100100011111101010011011000110111
2222,11001000111111010100110110001101000
2223,11001000111111010100110110001101001
2307,11001000111111010100110110001101010
2339,11001000111111010100110110001101011
2359,11001000111111010100110110001101100
2419,11001000111111010100110110001101101
2396,11001000111111010100110110001101110
2399,11001000111111010100110110001101111
2185,110010001111110101001101100011010010
2198,110010001111110101001101100011010011
2418,110010001111110101001101100011011010
2525,110010001111110101001101100011011011
2407,110010001111110101001101100011011110
2558,110010001111110101001101100011011111
2137,1100100011111101010011011000110100100
2138,1100100011111101010011011000110100101
2171,1100100011111101010011011000110100110
2183,1100100011111101010011011000110100111
2406,1100100011111101010011011000110110100
2422,1100100011111101010011011000110110101
2531,1100100011111101010011011000110110110
2617,1100100011111101010011011000110110111
2578,1100100011111101010011011000110111110
2599,1100100011111101010011011000110111111
2048,11001000111111010100110110001101001010
2049,11001000111111010100110110001101001011
2184,11001000111111010100110110001101001110
2243,11001000111111010100110110001101001111
1991,110010001111110101001101100011010010100
2004,110010001111110101001101100011010010101
2132,110010001111110101001101100011010011100
2133,110010001111110101001101100011010011101
1950,1100100011111101010011011000110100101000
1951,1100100011111101010011011000110100101001
2134,1100100011111101010011011000110100111010
2135,1100100011111101010011011000110100111011
2121,11001000111111010100110110001101001110100
2131,11001000111111010100110110001101001110101
