"rid", "binaryID"
29080,1
29072,10
29094,11
29065,100
29142,101
29145,1010
29179,1011
29125,10100
29156,10101
29178,10110
29214,10111
29084,101000
29085,101001
29225,101110
29252,101111
29259,1011110
29323,1011111
29249,10111100
29267,10111101
29324,10111110
29362,10111111
29268,101111010
29301,101111011
29367,101111110
29402,101111111
29302,1011110110
29384,1011110111
29452,1011111100
29464,1011111101
29453,10111111000
29455,10111111001
29456,101111110010
29499,101111110011
29457,1011111100100
29468,1011111100101
