"rid", "binaryID"
101,1
93,10
97,11
102,110
110,111
103,1100
112,1101
87,11000
108,11001
114,11010
159,11011
126,110100
177,110101
150,1101000
226,1101001
151,11010000
186,11010001
116,110100000
154,110100001
223,110100010
254,110100011
153,1101000010
161,1101000011
240,1101000100
260,1101000101
80,11010000100
94,11010000101
162,11010000110
187,11010000111
281,11010001010
292,11010001011
68,110100001000
69,110100001001
96,110100001010
111,110100001011
188,110100001110
197,110100001111
284,110100010100
353,110100010101
291,110100010110
381,110100010111
122,1101000010100
123,1101000010101
295,1101000101000
332,1101000101001
366,1101000101010
426,1101000101011
290,1101000101100
309,1101000101101
404,1101000101110
423,1101000101111
296,11010001010000
315,11010001010001
372,11010001010010
466,11010001010011
365,11010001010100
383,11010001010101
316,110100010100010
328,110100010100011
395,110100010101000
429,110100010101001
425,110100010101010
584,110100010101011
339,1101000101000110
388,1101000101000111
444,1101000101010100
456,1101000101010101
340,11010001010001100
360,11010001010001101
393,11010001010001110
396,11010001010001111
450,11010001010101000
462,11010001010101001
494,11010001010101010
513,11010001010101011
355,110100010100011010
389,110100010100011011
402,110100010100011100
435,110100010100011101
397,110100010100011110
430,110100010100011111
354,1101000101000110100
356,1101000101000110101
483,1101000101000111010
510,1101000101000111011
398,1101000101000111100
408,1101000101000111101
433,1101000101000111110
446,1101000101000111111
511,11010001010001110100
524,11010001010001110101
412,11010001010001111000
428,11010001010001111001
522,110100010100011101000
602,110100010100011101001
545,110100010100011101010
635,110100010100011101011
452,110100010100011110010
457,110100010100011110011
613,1101000101000111010010
621,1101000101000111010011
634,1101000101000111010100
681,1101000101000111010101
733,1101000101000111010110
734,1101000101000111010111
623,11010001010001110100110
685,11010001010001110100111
626,110100010100011101001100
638,110100010100011101001101
704,110100010100011101001110
786,110100010100011101001111
660,1101000101000111010011010
669,1101000101000111010011011
711,1101000101000111010011100
722,1101000101000111010011101
806,1101000101000111010011110
827,1101000101000111010011111
726,11010001010001110100111000
729,11010001010001110100111001
724,11010001010001110100111010
725,11010001010001110100111011
826,11010001010001110100111100
843,11010001010001110100111101
