"rid", "binaryID"
6344,1
5822,10
6355,11
11659,100
11660,101
11641,1010
11643,1011
10150,10100
10151,10101
5823,10110
11644,10111
5843,101100
11728,101101
11631,101110
11632,101111
9668,1011000
11695,1011001
11782,1011010
11801,1011011
11629,1011110
11650,1011111
9665,10110010
11696,10110011
11807,10110110
11812,10110111
6345,10111110
11647,10111111
9677,101100100
11723,101100101
11670,101100110
11671,101100111
11813,101101110
11847,101101111
5833,101111110
11654,101111111
9678,1011001000
11713,1011001001
11722,1011001010
11732,1011001011
9242,1011011110
11853,1011011111
11635,1011111110
11653,1011111111
11719,10110010010
11761,10110010011
11754,10110010110
11810,10110010111
11862,10110111100
12263,10110111101
9250,10110111110
11851,10110111111
11733,101100100100
11790,101100100101
9245,101100101110
11814,101100101111
11742,1011001001000
11791,1011001001001
7018,1011001011100
11863,1011001011101
11815,1011001011110
11839,1011001011111
11743,10110010010000
11749,10110010010001
12285,10110010111000
12443,10110010111001
7028,10110010111010
12276,10110010111011
11677,101100100100000
11730,101100100100001
11777,101100100100010
11809,101100100100011
12359,101100101110000
12363,101100101110001
12444,101100101110010
12474,101100101110011
12296,101100101110110
12309,101100101110111
11712,1011001001000010
11736,1011001001000011
11778,1011001001000100
11842,1011001001000101
12436,1011001011100100
12440,1011001011100101
9669,10110010010000100
11737,10110010010000101
11802,10110010010001000
11833,10110010010001001
7032,10110010010001010
7033,10110010010001011
11679,101100100100001000
11680,101100100100001001
11803,101100100100010000
11821,101100100100010001
11881,101100100100010100
12286,101100100100010101
5839,1011001001000010000
5841,1011001001000010001
5846,1011001001000010010
5850,1011001001000010011
11822,1011001001000100010
11850,1011001001000100011
12270,1011001001000101000
12320,1011001001000101001
5838,10110010010000100010
6356,10110010010000100011
5828,10110010010000100100
5829,10110010010000100101
11872,10110010010001000110
12268,10110010010001000111
12269,10110010010001010000
12316,10110010010001010001
11645,101100100100001000110
11646,101100100100001000111
10163,101100100100001001010
10164,101100100100001001011
11875,101100100100010001100
12317,101100100100010001101
12274,101100100100010001110
12310,101100100100010001111
12354,101100100100010100010
12356,101100100100010100011
10160,1011001001000010010110
10168,1011001001000010010111
11876,1011001001000100011000
12308,1011001001000100011001
12318,1011001001000100011010
12340,1011001001000100011011
12314,1011001001000100011100
12321,1011001001000100011101
12326,1011001001000100011110
12350,1011001001000100011111
6353,10110010010000100101110
10169,10110010010000100101111
11848,10110010010001000110000
11852,10110010010001000110001
11865,10110010010001000110100
11866,10110010010001000110101
12344,10110010010001000110110
12367,10110010010001000110111
12323,10110010010001000111010
12346,10110010010001000111011
12353,10110010010001000111110
12370,10110010010001000111111
5849,101100100100001001011100
6352,101100100100001001011101
10152,101100100100001001011110
10158,101100100100001001011111
11819,101100100100010001100000
11820,101100100100010001100001
7015,101100100100010001101010
11867,101100100100010001101011
12368,101100100100010001101110
12421,101100100100010001101111
12373,101100100100010001110110
12411,101100100100010001110111
5851,1011001001000010010111000
11731,1011001001000010010111001
5848,1011001001000010010111010
6330,1011001001000010010111011
10149,1011001001000010010111100
10182,1011001001000010010111101
11826,1011001001000100011010100
11827,1011001001000100011010101
11868,1011001001000100011010110
12392,1011001001000100011010111
12426,1011001001000100011011110
12441,1011001001000100011011111
12410,1011001001000100011101110
12419,1011001001000100011101111
9666,10110010010000100101110100
11676,10110010010000100101110101
10139,10110010010000100101111000
10830,10110010010000100101111001
10183,10110010010000100101111010
11633,10110010010000100101111011
7019,10110010010001000110101100
11864,10110010010001000110101101
12393,10110010010001000110101110
12413,10110010010001000110101111
12425,10110010010001000110111100
12468,10110010010001000110111101
12442,10110010010001000110111110
12449,10110010010001000110111111
9670,101100100100001001011101000
9679,101100100100001001011101001
11673,101100100100001001011101010
11678,101100100100001001011101011
10825,101100100100001001011110010
10848,101100100100001001011110011
11837,101100100100010001101011000
11838,101100100100010001101011001
12394,101100100100010001101011100
12438,101100100100010001101011101
12412,101100100100010001101111000
12433,101100100100010001101111001
12479,101100100100010001101111010
12485,101100100100010001101111011
11715,1011001001000010010111010000
11745,1011001001000010010111010001
11667,1011001001000010010111010110
11703,1011001001000010010111010111
10154,1011001001000010010111100110
10836,1011001001000010010111100111
12383,1011001001000100011010111000
12414,1011001001000100011010111001
12420,1011001001000100011011110010
12467,1011001001000100011011110011
11906,1011001001000100011011110110
12484,1011001001000100011011110111
11744,10110010010000100101110100000
11766,10110010010000100101110100001
11765,10110010010000100101110100010
11771,10110010010000100101110100011
5835,10110010010000100101110101100
5836,10110010010000100101110101101
9674,10110010010000100101110101110
11704,10110010010000100101110101111
10833,10110010010000100101111001110
10849,10110010010000100101111001111
12341,10110010010001000110101110000
12357,10110010010001000110101110001
12491,10110010010001000110111101100
12594,10110010010001000110111101101
12483,10110010010001000110111101110
12531,10110010010001000110111101111
11762,101100100100001001011101000000
11783,101100100100001001011101000001
11626,101100100100001001011101011010
11627,101100100100001001011101011011
9675,101100100100001001011101011100
11724,101100100100001001011101011101
10142,101100100100001001011110011110
10834,101100100100001001011110011111
12311,101100100100010001101011100000
12312,101100100100010001101011100001
12358,101100100100010001101011100010
12374,101100100100010001101011100011
12492,101100100100010001101111011000
12506,101100100100010001101111011001
12593,101100100100010001101111011010
12633,101100100100010001101111011011
11900,101100100100010001101111011100
12470,101100100100010001101111011101
7013,1011001001000010010111010110110
