"rid", "binaryID"
13959,1
13927,10
13988,11
14046,110
14062,111
14061,1100
14118,1101
14082,1110
14148,1111
14072,11100
14121,11101
14055,111000
14136,111001
14047,1110000
14048,1110001
14137,1110010
14143,1110011
14029,11100010
14037,11100011
14020,11100100
14021,11100101
14117,11100110
14138,11100111
13990,111000100
13991,111000101
13943,111001000
13951,111001001
13960,111001010
13961,111001011
14101,111001100
14102,111001101
13921,1110001000
13922,1110001001
13948,1110011010
13949,1110011011
13897,11100010010
13898,11100010011
13903,11100110100
13904,11100110101
13849,111001101010
13850,111001101011
13771,1110011010110
13772,1110011010111
13756,11100110101100
13760,11100110101101
13733,111001101011000
13734,111001101011001
