"rid", "binaryID"
29632,1
29633,10
29641,11
29604,100
29606,101
29651,110
29657,111
29603,1010
29605,1011
29652,1100
29670,1101
29656,1110
29680,1111
29599,10110
29611,10111
29645,11000
29646,11001
29593,101100
29594,101101
29584,101110
29589,101111
29647,110010
29659,110011
29582,1011010
29583,1011011
29660,1100110
29673,1100111
29543,10110100
29544,10110101
29661,11001100
29672,11001101
29658,110011000
29662,110011001
29642,1100110000
29643,1100110001
29663,1100110010
29664,1100110011
29648,11001100100
29650,11001100101
29667,11001100110
29671,11001100111
29675,110011001110
29676,110011001111
