"rid", "binaryID"
22837,1
25090,10
25132,11
21203,100
22838,101
25238,1000
25354,1001
21661,1010
22834,1011
12230,10000
25318,10001
25367,10010
25372,10011
21662,10100
25162,10101
25319,100010
25344,100011
25377,100110
25434,100111
21656,101000
25198,101001
25215,1010010
25403,1010011
25216,10100100
25242,10100101
25243,101001010
25274,101001011
25279,1010010110
25385,1010010111
25275,10100101100
25280,10100101101
25386,10100101110
25409,10100101111
25244,101001011000
25245,101001011001
12219,101001011010
18732,101001011011
25436,101001011110
25470,101001011111
25435,1010010111100
25476,1010010111101
25471,1010010111110
25486,1010010111111
25501,10100101111110
25508,10100101111111
25509,101001011111110
25517,101001011111111
