"rid", "binaryID"
25444,1
25413,10
25497,11
25445,100
25451,101
25441,1000
25509,1001
25625,1010
25897,1011
25510,10010
25549,10011
25742,10100
25790,10101
25910,10110
25915,10111
25504,100100
25585,100101
25791,101010
25816,101011
25920,101110
25977,101111
25602,1001010
25946,1001011
25603,10010100
25643,10010101
25644,100101010
25675,100101011
25680,1001010110
25928,1001010111
25676,10010101100
25681,10010101101
25929,10010101110
25952,10010101111
25645,100101011000
25646,100101011001
25719,100101011010
25731,100101011011
25979,100101011110
26013,100101011111
25978,1001010111100
26019,1001010111101
26014,1001010111110
26029,1001010111111
26044,10010101111110
26051,10010101111111
26052,100101011111110
26060,100101011111111
