"rid", "binaryID"
6816,1
6817,10
7175,11
6775,100
6776,101
7176,110
7193,111
7204,1110
7219,1111
7233,11110
7242,11111
7252,111110
7268,111111
7240,1111100
7249,1111101
5334,1111110
7283,1111111
2320,11111110
7333,11111111
2330,111111100
7310,111111101
1827,111111110
7340,111111111
1846,1111111010
7332,1111111011
7337,1111111100
7385,1111111101
1847,11111110100
1856,11111110101
7354,11111111000
7378,11111111001
1841,111111101000
1863,111111101001
1866,111111101010
7363,111111101011
7411,111111110000
7440,111111110001
7371,1111111010100
7400,1111111010101
7459,1111111100000
7473,1111111100001
7433,11111110101010
7447,11111110101011
6915,11111111000010
7485,11111111000011
6916,111111110000100
6930,111111110000101
7494,111111110000110
7517,111111110000111
