"rid", "binaryID"
6311,1
6312,10
6326,11
6315,100
8568,101
8590,110
8595,111
6318,1000
6323,1001
8591,1100
8596,1101
6317,10000
8589,10001
8603,11010
8614,11011
6316,100000
8588,100001
8612,110100
8615,110101
8613,1101000
8630,1101001
8626,1101010
8637,1101011
8631,11010010
8642,11010011
8629,11010100
8656,11010101
8651,110100110
8652,110100111
8665,1101001110
8675,1101001111
8666,11010011100
8676,11010011101
8643,110100111000
8645,110100111001
8677,110100111010
8682,110100111011
8632,1101001110010
8633,1101001110011
8659,1101001110100
8663,1101001110101
624,1101001110110
1244,1101001110111
8653,11010011101000
8657,11010011101001
634,11010011101100
641,11010011101101
642,110100111011010
647,110100111011011
331,1101001110110100
625,1101001110110101
648,1101001110110110
8696,1101001110110111
649,11010011101101100
655,11010011101101101
656,110100111011011010
8697,110100111011011011
8702,1101001110110110110
8717,1101001110110110111
8703,11010011101101101100
8718,11010011101101101101
8700,110100111011011011000
8711,110100111011011011001
8722,110100111011011011010
8733,110100111011011011011
8707,1101001110110110110010
8713,1101001110110110110011
