"","LAT_RAW","sum_1095_days","XSLOPE_MAP","MIN_Z","STRMPWR","FSS_26Aug14","PDISRSA_1YR","POWNRCA_PRI","PALITHERODRCA","PACLAYRCA","PASILTRCA","PASUSCEP5_DE","DAROADX","DAPOPRCA2010","PAOWNRCA_AGR"
"1",0.800133780233367,0.46044174018456,0.0926170846129174,0.0162883033681436,0.0205893183883812,0.411764705882353,0.720598006644519,0.85097192224622,0.993841985347447,0.43105055730504,0.759765649277069,0.0114973005404963,0.000154999430311623,0.0424421661571378,0.239977881121641
"2",0.93187591762615,0.90591598913854,0.146467228451761,0.0710431269248106,0.0538666377199226,0.0441176470588235,0.0391022174148189,1,0.581954546788372,0.254996614472237,0.498036224049483,0.0833026147036928,0.000174051696740679,2.56448591719299e-07,0
"3",0.31106802024573,0.323163982794226,0.313380717270407,0.194802696976055,0.0486559650062727,0.102941176470588,0,0.0511811023622047,1,0.153323480250645,0.111667355744097,0.12584188009415,0,0,0
"4",0.236947975426937,0.216556036679862,0.276130594633816,0.429966884187054,0.092306927938762,0.0735294117647059,0,0,1,0.225863155153229,0.13443952983779,0.0767232867298487,0.000103205892716095,0.000280094757609729,0
"5",0.181146646317904,0.384370903106976,0.115053713543968,0.253000922466379,0.0391731525500388,0.0588235294117647,0,0.3,0.968755868361245,0.159310290927571,0.135863484934481,0.0623358416680947,0.000136690001497649,0,0
"6",0.173187446874275,0.580717425611214,0.225542163063219,0.0958555535895699,0.11751207103629,0.0441176470588235,0,0,0.896705077046158,0.181488875963665,0.0880900040562065,0.299148738482548,4.7251530218793e-05,0,0
"7",0.846985839579631,0.727464378941552,0.19420167294661,0.0849436269070405,0.0779581836552966,0.0294117647058824,0,0,0,0.198748951677041,0.496226153854031,0.496898794923302,0.000129533737457826,0.00759769873439215,0
"8",0.856635402982769,0.793190881698613,0.265920517347848,0.247782048994752,0.05140655224463,0.0588235294117647,0,0.405405405405405,0.154056767425751,0.0980066305788066,0.327632193543662,0.174992166833436,9.69790168032625e-05,0.00409907474101691,0
"9",0.908029711768797,0.274992338331166,0.263810745418207,0.249679249837772,0.0574826133726652,0.205882352941176,0.105087209302326,1,0.939496510816983,0.351021836632037,0.728997222754362,0.00538227525873879,7.16302133971435e-05,0.0516141450966394,0
"10",0.787714434742293,0.687070157954325,0.17589218990765,0.127605101310655,0.0478985964931579,0.0147058823529412,0,0,0.544295965913727,0.133292255370914,0.321831557468829,0.0461575652447371,5.97089372490635e-05,6.38690115350188e-11,0
"11",0.494296229039488,0.419298328425128,0.304430415513238,0.0754838277516129,0.0400435730587555,0.0882352941176471,0.0549709922150047,0.131964117091596,0.957759727897812,0.3704616278569,0.193175413433222,0.0492280955281193,0,0.0451035169657834,0
"12",0.443703635731396,0.457358507239989,0.180525841061364,0.13420203116238,0.0473563082750985,0.0588235294117647,0.0509513742071882,0,0.905370443642053,0.131304953378946,0.0980204545652499,0.201140694975659,0,1.71960137290039e-06,0
"13",0.51495972104165,0.449568776587059,0.179356626929327,0.00761319901059643,0.0625012390527933,0.117647058823529,0.0652969067509596,0.476426799007444,0.292722296121127,0.271173345683378,0.402988859287391,0.0937428475127659,5.17623437188507e-05,0.00165138208659235,0
"14",0.226081349972953,0.205129873178367,0.501865139572788,0.0882835586892745,0.0304618346851801,0.0882352941176471,0.0437863372093023,1,1,0.576073012210698,0.514444885552021,0.0135610344167138,0,0.00788531296165366,0
"15",0.254066532725445,0.270062018194211,0.463583490394158,1,0.0331013428632016,0.147058823529412,0,0.287244401168452,1,0.30212111300723,0.173975724843119,0,0,0,0
"16",0.504353894598563,0.361546998160347,0.122537339972564,0.0342004327862286,0.0656823701838156,0.132352941176471,0.113427464008859,0.212395543175487,0.992432172557054,0.240141269348642,0.166991261656553,0.124042317305577,5.22297367480746e-05,0.0493440506666679,0
"17",0.521320319140715,0.375947896308954,0.226504397237223,0.236459304689873,0.0272339755536412,0.117647058823529,0.049681118340527,0.0396889246446769,1,0.220334617068901,0.164178326100963,0.0473555015950381,0,0.0115462089757155,0
"18",0.456927111506067,0.158008555356145,0.0944501249334009,0.140217164899291,0.020997070631726,0.338235294117647,0,0.845726198749131,0.997130512745826,0.615629180162454,0.25624814000245,0.0879196530359512,0.000141544239267311,0.0630891511244296,0.173923951307412
"19",0.866854860520825,0.711472607047049,1,0.0433185368398648,0.128776558640278,0.0735294117647059,0,0,0,0.210523131559612,0.465088630627992,0.412961441054628,0,0.0749129610347807,0
"20",0.829734467970018,0.800062717391517,0.283846188842434,0.299561096700674,0.0875491786765912,0.0441176470588235,0,0,0,0.0925333322326979,0.333001753268988,0.0650239033224331,0,0,0
"21",0.774618943667414,0.478617976366868,0.315017501507147,0.574181284111436,0.0699668737666522,0,0.0773055332798717,0,0.678418648762483,0.149570654988114,0.318725632743822,0.0402815524319505,0.000206198080703483,0.00741781845704367,0
"22",0.688980275867399,0.749462337617425,0.113040769893113,0.0959936281869349,0.023157323293347,0.0588235294117647,0.0577799088947494,1,0,0.150244803357512,0.488319073807411,0.0477101125363796,5.69528131111781e-05,0,0
"23",0.770465477938335,0.39518739094227,0.33259606983367,0.130550028953938,0.0303502737722895,0.205882352941176,0,0,0.634965034965035,0.455746282142751,0.265555084234024,0,0,0.0313272390804004,0
"24",0.656404547562013,0.375359702366982,0.394517157965005,0.085776915300432,0.0428136225889089,0.235294117647059,0,0.672444710101614,1,0.343106511982035,0.209515222936921,0.0675373673400441,8.50677156006065e-05,0.0351029701848715,0
